"order_id","product_id","transaction_entry_count"
"ORD000425","P002",2
"ORD000863","P005",2
"ORD000720","P006",2
"ORD000911","P002",2
"ORD000630","P002",2
"ORD000168","P004",2
"ORD000428","P001",2
"ORD000960","P004",2
"ORD000249","P005",2
"ORD000455","P005",2
"ORD000158","P004",2
"ORD000360","P002",2
"ORD000049","P006",2
"ORD000573","P006",2
"ORD000329","P007",2
"ORD000921","P002",2
"ORD000144","P001",2
"ORD000972","P005",2
"ORD000419","P004",2
"ORD000175","P006",2
"ORD000886","P002",2
"ORD000577","P001",2
"ORD000899","P006",2
"ORD000674","P001",2
"ORD000523","P007",2
"ORD000710","P003",2
"ORD000669","P005",2
"ORD000834","P007",2
"ORD000011","P001",2
"ORD000233","P003",2
"ORD000752","P003",2
"ORD000967","P004",2
"ORD000800","P007",2
"ORD000898","P001",2
"ORD000977","P001",2
"ORD000339","P001",2
"ORD000146","P002",2
"ORD000494","P001",2
"ORD000909","P004",2
"ORD000650","P005",2
"ORD000480","P003",2
"ORD000851","P004",2
"ORD000782","P003",2
"ORD000634","P004",2
"ORD000895","P001",2
"ORD000846","P001",2
"ORD000762","P004",2
"ORD000074","P002",2
"ORD000896","P002",2
"ORD000915","P002",2
"ORD000258","P001",2
"ORD000589","P005",2
"ORD000731","P005",2
"ORD000562","P006",2
"ORD000095","P002",2
"ORD000234","P002",2
"ORD000087","P004",2
"ORD000946","P001",2
"ORD000819","P005",2
"ORD000622","P007",2
"ORD000541","P002",2
"ORD000590","P001",2
"ORD000754","P003",2
"ORD000330","P002",2
"ORD000445","P007",2
"ORD000382","P001",2
"ORD000504","P003",2
"ORD000138","P003",2
"ORD000270","P003",2
"ORD000548","P002",2
"ORD000743","P005",2
"ORD000663","P001",2
"ORD000131","P002",2
"ORD000621","P006",2
"ORD000155","P001",2
"ORD000830","P002",2
"ORD000224","P005",2
"ORD000201","P007",2
"ORD000853","P007",2
"ORD000691","P005",2
"ORD000111","P001",2
"ORD000596","P001",2
"ORD000877","P006",2
"ORD000102","P002",2
"ORD000080","P005",2
"ORD000981","P007",2
"ORD000067","P005",2
"ORD000641","P001",2
"ORD000938","P007",2
"ORD000646","P007",2
"ORD000458","P005",2
"ORD000556","P006",2
"ORD000826","P007",2
"ORD000824","P002",2
"ORD000990","P001",2
"ORD000750","P003",2
"ORD000347","P006",2
"ORD000549","P003",2
"ORD000417","P001",2
"ORD000208","P005",2
"ORD000879","P003",2
"ORD000247","P003",2
"ORD000056","P007",2
"ORD000061","P004",2
"ORD000859","P006",2
"ORD000587","P006",2
"ORD000373","P005",2
"ORD000839","P005",2
"ORD000122","P007",2
"ORD000588","P007",2
"ORD000755","P003",2
"ORD000199","P001",2
"ORD000320","P006",2
"ORD000113","P001",2
"ORD000947","P005",2
"ORD000054","P003",2
"ORD000463","P007",2
"ORD000658","P006",2
"ORD000546","P002",2
"ORD000083","P007",2
"ORD000776","P007",2
"ORD000340","P007",2
"ORD000021","P001",2
"ORD000148","P002",2
"ORD000864","P002",2
"ORD000748","P003",2
"ORD000534","P006",2
"ORD000999","P003",2
"ORD000803","P001",2
"ORD000940","P004",2
"ORD000017","P004",2
"ORD000022","P005",2
"ORD000151","P004",2
"ORD000240","P007",2
"ORD000675","P003",2
"ORD000461","P005",2
"ORD000693","P004",2
"ORD000683","P004",2
"ORD000850","P007",2
"ORD000459","P001",2
"ORD000893","P004",2
"ORD000053","P004",2
"ORD000912","P006",2
"ORD000790","P005",2
"ORD000871","P001",2
"ORD000514","P002",2
"ORD000736","P002",2
"ORD000611","P002",2
"ORD000394","P007",2
"ORD000764","P004",2
"ORD000013","P005",2
"ORD000917","P002",2
"ORD000730","P003",2
"ORD000519","P006",2
"ORD000343","P005",2
"ORD000984","P003",2
"ORD000530","P001",2
"ORD000985","P007",2
"ORD000934","P003",2
"ORD000866","P002",2
"ORD000288","P005",2
"ORD000433","P006",2
"ORD000831","P002",2
"ORD000416","P006",2
"ORD000134","P001",2
"ORD000740","P005",2
"ORD000108","P005",2
"ORD000156","P002",2
"ORD000493","P001",2
"ORD000460","P001",2
"ORD000722","P007",2
"ORD000966","P007",2
"ORD000767","P001",2
"ORD000055","P002",2
"ORD000856","P007",2
"ORD000312","P001",2
"ORD000368","P002",2
"ORD000649","P001",2
"ORD000369","P002",2
"ORD000241","P006",2
"ORD000084","P003",2
"ORD000143","P007",2
"ORD000618","P001",2
"ORD000003","P002",2
"ORD000441","P004",2
"ORD000356","P003",2
"ORD000884","P007",2
"ORD000993","P003",2
"ORD000034","P007",2
"ORD000285","P006",2
"ORD000081","P005",2
"ORD000210","P002",2
"ORD000125","P001",2
"ORD000528","P001",2
"ORD000867","P002",2
"ORD000402","P005",2
"ORD000253","P007",2
"ORD000793","P004",2
"ORD000227","P003",2
"ORD000244","P001",2
"ORD000561","P006",2
"ORD000271","P007",2
"ORD000945","P005",2
"ORD000002","P005",2
"ORD000031","P006",2
"ORD000334","P004",2
"ORD000328","P004",2
"ORD000355","P004",2
"ORD000130","P006",2
"ORD000746","P005",2
"ORD000600","P003",2
"ORD000236","P007",2
"ORD000901","P007",2
"ORD000068","P007",2
"ORD000219","P004",2
"ORD000411","P001",2
"ORD000141","P002",2
"ORD000614","P004",2
"ORD000327","P001",2
"ORD000715","P007",2
"ORD000296","P007",2
"ORD000780","P004",2
"ORD000704","P003",2
"ORD000768","P001",2
"ORD000220","P006",2
"ORD000779","P002",2
"ORD000424","P006",2
"ORD000961","P006",2
"ORD000958","P001",2
"ORD000464","P004",2
"ORD000259","P007",2
"ORD000526","P003",2
"ORD000332","P004",2
"ORD000169","P005",2
"ORD000963","P002",2
"ORD000758","P003",2
"ORD000399","P007",2
"ORD000539","P006",2
"ORD000482","P002",2
"ORD000298","P007",2
"ORD000026","P003",2
"ORD000555","P001",2
"ORD000567","P002",2
"ORD000385","P002",2
"ORD000626","P005",2
"ORD000173","P002",2
"ORD000389","P005",2
"ORD000378","P002",2
"ORD000103","P001",2
"ORD000868","P005",2
"ORD000078","P005",2
"ORD000395","P003",2
"ORD000315","P001",2
"ORD000467","P001",2
"ORD000501","P007",2
"ORD000913","P005",2
"ORD000931","P001",2
"ORD000609","P003",2
"ORD000197","P004",2
"ORD000101","P006",2
"ORD000998","P005",2
"ORD000957","P001",2
"ORD000166","P002",2
"ORD000950","P002",2
"ORD000775","P003",2
"ORD000783","P004",2
"ORD000964","P004",2
"ORD000250","P002",2
"ORD000951","P007",2
"ORD000379","P003",2
"ORD000836","P004",2
"ORD000064","P004",2
"ORD000376","P006",2
"ORD000267","P005",2
"ORD000457","P004",2
"ORD000297","P002",2
"ORD000121","P004",2
"ORD000190","P005",2
"ORD000393","P007",2
"ORD000598","P002",2
"ORD000016","P006",2
"ORD000774","P003",2
"ORD000181","P004",2
"ORD000623","P002",2
"ORD000225","P004",2
"ORD000986","P001",2
"ORD000627","P004",2
"ORD000954","P003",2
"ORD000876","P005",2
"ORD000973","P003",2
"ORD000631","P003",2
"ORD000707","P007",2
