order_id,customer_id,product_id,order_date,ship_date,quantity,discount_percent,courier_partner
ORD000041,C2450,P006,2025-07-02,2025-07-05,5,0.15,FedEx
ORD000042,C4752,P005,2025-10-11,2025-10-12,4,0.05,BlueDart
ORD000043,C0897,P004,2026-03-10,2026-03-14,5,0.00,FedEx
ORD000044,C4215,P004,2025-03-26,2025-04-10,5,0.00,SwiftEx
ORD000045,C1276,P002,2026-04-15,2026-04-17,4,0.00,FedEx
ORD000046,C2538,P005,2025-12-26,2025-12-28,4,0.10,BlueDart
ORD000047,C3528,P006,2025-01-30,2025-02-03,3,0.15,BlueDart
ORD000048,C2205,P001,2026-03-24,2026-03-28,3,0.15,BlueDart
ORD000049,C1859,P006,2025-04-28,2025-04-30,1,0.10,FedEx
ORD000050,C1307,P006,2025-11-14,2025-11-27,2,0.15,SwiftEx
ORD000051,C2297,P005,2025-11-02,2025-11-03,1,0.05,FedEx
ORD000052,C4407,P002,2025-09-02,2025-09-04,1,0.10,BlueDart
ORD000053,C2806,P004,2025-09-25,2025-09-29,2,0.15,BlueDart
ORD000054,C2234,P003,2025-08-19,2025-08-21,5,0.15,BlueDart
ORD000055,C0077,P002,2025-07-05,2025-07-07,5,0.00,DHL
ORD000056,C0879,P007,2026-03-24,2026-03-28,5,0.15,DHL
ORD000057,C4209,P004,2025-09-28,2025-10-01,2,0.10,BlueDart
ORD000058,C4456,P004,2025-06-24,2025-06-27,2,0.10,BlueDart
ORD000059,C1541,P004,2025-03-07,2025-03-21,2,0.15,SwiftEx
ORD000060,C2887,P005,2025-03-07,2025-03-11,5,0.15,DHL
ORD000061,C2065,P004,2025-10-02,2025-10-05,5,0.10,FedEx
ORD000062,C3865,P001,2025-09-18,2025-10-01,2,0.15,SwiftEx
ORD000063,C2170,P006,2025-01-21,2025-01-22,4,0.15,DHL
ORD000064,C4003,P004,2026-03-23,2026-03-26,2,0.05,DHL
ORD000065,C3642,P005,2026-01-07,2026-01-08,5,0.15,BlueDart
ORD000066,C3607,P007,2026-03-15,2026-03-19,3,0.05,DHL
ORD000067,C1842,P005,2025-04-13,2025-04-14,2,0.10,BlueDart
ORD000068,C2640,P007,2025-06-05,2025-06-21,4,0.00,SwiftEx
ORD000069,C0740,P007,2026-04-06,2026-04-09,3,0.00,DHL
ORD000070,C0646,P006,2026-02-16,2026-02-19,3,0.15,BlueDart
ORD000071,C2831,P005,2026-04-01,2026-04-03,1,0.00,DHL
ORD000072,C1171,P006,2025-11-14,2025-11-18,4,0.05,BlueDart
ORD000073,C2668,P005,2025-05-16,2025-05-28,2,0.00,SwiftEx
ORD000074,C3094,P002,2026-01-07,2026-01-09,4,0.10,BlueDart
ORD000075,C2273,P006,2025-06-20,,3,0.05,FedEx
ORD000076,C3904,P007,2026-01-26,2026-01-28,5,0.10,DHL
ORD000077,C0993,P004,2025-05-02,2025-05-03,3,0.15,DHL
ORD000078,C2727,P005,2026-04-26,2026-04-29,3,0.15,FedEx
ORD000079,C4927,P001,2026-03-23,2026-04-04,4,0.10,SwiftEx
ORD000080,C1757,P005,2025-09-01,2025-09-05,4,0.10,BlueDart
ORD000081,C1471,P005,2025-01-02,2025-01-04,3,0.10,BlueDart
ORD000082,C2433,P005,2026-02-09,2026-02-12,3,0.15,BlueDart
ORD000083,C2638,P007,2025-08-28,2025-09-08,1,0.05,SwiftEx
ORD000084,C3873,P003,2025-04-14,2025-04-18,4,0.25,BlueDart
ORD000085,C1107,P006,2026-02-05,2026-02-06,5,0.10,DHL
ORD000086,C4539,P002,2025-09-25,2025-09-27,4,0.05,DHL
ORD000087,C0835,P004,2025-12-16,2025-12-17,1,0.05,BlueDart
ORD000088,C4860,P005,2026-02-28,2026-03-01,4,0.15,DHL
ORD000089,C3042,P002,2025-11-04,2025-11-06,5,0.00,FedEx
ORD000090,C4692,P005,2026-02-11,2026-02-14,3,0.00,DHL
ORD000091,C0772,P006,2025-02-19,2025-02-23,5,0.00,DHL
ORD000092,C4151,P007,2026-03-08,2026-03-22,5,0.00,SwiftEx
ORD000093,C0232,P007,2025-01-07,2025-01-11,4,0.00,DHL
ORD000094,C0209,P007,2025-03-15,2025-03-18,4,0.10,DHL
ORD000095,C0469,P002,2025-04-19,2025-04-20,5,0.05,DHL
ORD000096,C3335,P007,2025-08-22,2025-08-25,2,0.15,BlueDart
ORD000097,C3237,P004,2025-06-16,2025-06-18,1,0.15,DHL
ORD000098,C0889,P007,2025-09-14,2025-09-28,2,0.15,SwiftEx
ORD000099,C0296,P004,2026-04-16,2026-04-28,5,0.15,SwiftEx
ORD000100,C4834,P005,2025-11-14,2025-11-26,2,0.00,SwiftEx
ORD000101,C2235,P006,2025-07-31,2025-08-13,4,0.10,SwiftEx
ORD000102,C0910,P002,2025-07-17,2025-07-19,4,0.15,BlueDart
ORD000103,C4532,P001,2025-12-23,2026-01-07,1,0.10,SwiftEx
ORD000104,C4826,P004,2025-08-20,2025-08-21,4,0.15,FedEx
ORD000105,C4826,P003,2026-04-14,2026-04-15,4,0.25,FedEx
ORD000106,C2819,P003,2025-11-27,2025-11-30,5,0.25,BlueDart
ORD000107,C3073,P002,2026-03-25,2026-03-28,4,0.00,FedEx
ORD000108,C3035,P005,2025-05-22,2025-05-25,4,0.00,DHL
ORD000109,C0515,P001,2025-12-06,2025-12-19,1,0.00,SwiftEx
ORD000110,C0239,P005,2025-02-15,2025-02-16,5,0.10,BlueDart
ORD000111,C2782,P001,2025-02-14,2025-02-25,3,0.05,SwiftEx
ORD000112,C0751,P007,2026-03-20,2026-04-05,4,0.15,SwiftEx
ORD000113,C4312,P001,2025-08-29,,1,0.00,FedEx
ORD000114,C0296,P005,2025-01-01,2025-01-05,5,0.15,BlueDart
ORD000115,C0023,P006,2025-10-21,2025-10-22,2,0.15,FedEx
ORD000116,C4386,P006,2025-10-18,2025-10-21,4,0.10,DHL
ORD000117,C2411,P004,2025-01-23,2025-02-06,2,0.05,SwiftEx
ORD000118,C0650,P005,2025-04-17,2025-04-21,1,0.00,FedEx
ORD000119,C1554,P005,2025-12-04,2025-12-14,3,0.00,SwiftEx
ORD000120,C2658,P004,2026-01-02,2026-01-16,2,0.00,SwiftEx
ORD000121,C1356,P004,2026-02-08,2026-02-09,4,0.05,FedEx
ORD000122,C1325,P007,2025-10-21,2025-10-23,4,0.05,DHL
ORD000123,C0933,P004,2025-11-07,2025-11-21,1,0.15,SwiftEx
ORD000124,C4497,P006,2025-11-11,2025-11-15,2,0.10,DHL
ORD000125,C3773,P001,2025-05-08,2025-05-22,2,0.15,SwiftEx
ORD000126,C0821,P002,2025-09-03,2025-09-05,2,0.00,BlueDart
ORD000127,C4511,P004,2026-01-07,2026-01-08,2,0.15,DHL
ORD000128,C4769,P001,2026-03-14,2026-03-28,4,0.10,SwiftEx
ORD000129,C2023,P005,2025-04-30,2025-05-04,4,0.05,DHL
ORD000130,C1574,P006,2026-01-01,2026-01-15,1,0.10,SwiftEx
ORD000131,C3949,P002,2025-01-25,2025-01-28,4,0.10,DHL
ORD000132,C1805,P002,2025-11-20,2025-12-02,1,0.05,SwiftEx
ORD000133,C3950,P004,2025-07-30,2025-07-31,1,0.15,FedEx
ORD000134,C0120,P001,2026-04-25,2026-04-27,3,0.00,DHL
ORD000135,C2638,P006,2025-03-13,2025-03-14,1,0.15,BlueDart
ORD000136,C2370,P003,2026-01-13,2026-01-15,2,0.25,DHL
ORD000137,C1791,P006,2025-06-28,2025-07-01,2,0.05,BlueDart
ORD000138,C1093,P003,2025-03-24,2025-03-27,2,0.30,FedEx
ORD000139,C4433,P005,2026-02-25,2026-03-08,2,0.10,SwiftEx
ORD000140,C0162,P006,2025-12-28,2025-12-30,5,0.10,DHL
ORD000141,C2975,P002,2026-01-05,2026-01-09,5,0.15,DHL
ORD000142,C0278,P007,2026-04-11,2026-04-12,1,0.00,BlueDart
ORD000143,C2121,P007,2025-12-31,2026-01-02,2,0.00,FedEx
ORD000144,C4241,P001,2025-01-23,2025-02-04,3,0.00,SwiftEx
ORD000145,C2477,P007,2025-11-06,2025-11-09,1,0.10,DHL
ORD000146,C2116,P002,2025-02-14,2025-02-27,3,0.15,SwiftEx
ORD000147,C0164,P001,2025-05-01,2025-05-05,3,0.00,BlueDart
ORD000148,C0346,P002,2026-03-30,2026-04-09,4,0.05,SwiftEx
ORD000149,C4042,P005,2025-05-29,2025-05-30,2,0.15,FedEx
ORD000150,C3591,P002,2025-08-01,2025-08-14,2,0.10,SwiftEx
ORD000151,C1758,P004,2025-02-16,2025-02-20,5,0.10,FedEx
ORD000152,C0888,P004,2025-02-02,2025-02-04,2,0.00,DHL
ORD000153,C3046,P003,2025-01-27,2025-02-09,3,0.30,SwiftEx
ORD000154,C3635,P004,2025-03-09,2025-03-12,2,0.15,DHL
ORD000155,C1777,P001,2026-03-19,2026-03-21,4,0.00,FedEx
ORD000156,C1652,P002,2025-09-25,2025-09-28,2,0.10,DHL
ORD000157,C4131,P001,2025-04-02,2025-04-06,1,0.15,FedEx
ORD000158,C1008,P004,2026-02-02,2026-02-03,4,0.15,BlueDart
ORD000159,C2347,P006,2025-06-01,2025-06-05,4,0.00,FedEx
ORD000160,C0113,P001,2025-05-06,2025-05-07,3,0.10,BlueDart
ORD000161,C0790,P006,2026-02-14,2026-02-17,5,0.15,BlueDart
ORD000162,C1170,P003,2025-09-26,2025-09-29,5,0.30,DHL
ORD000163,C4635,P001,2025-10-19,2025-10-20,4,0.15,FedEx
ORD000164,C0990,P001,2025-10-20,2025-10-22,5,0.10,FedEx
ORD000165,C2945,P001,2025-06-21,2025-06-25,1,0.15,DHL
ORD000166,C0191,P002,2025-11-21,2025-11-25,2,0.10,FedEx
ORD000167,C1824,P003,2025-07-22,2025-07-23,5,0.25,FedEx
ORD000168,C4403,P004,2025-01-30,2025-02-09,1,0.00,SwiftEx
ORD000169,C4998,P005,2026-03-29,2026-04-08,1,0.10,SwiftEx
ORD000170,C1930,P007,2025-09-08,2025-09-22,4,0.10,SwiftEx
ORD000171,C2143,P006,2025-05-12,2025-05-13,3,0.00,FedEx
ORD000172,C1472,P007,2025-01-01,2025-01-17,3,0.15,SwiftEx
ORD000173,C1235,P002,2025-10-08,2025-10-11,3,0.15,DHL
ORD000174,C1987,P004,2025-05-07,2025-05-11,5,0.00,DHL
ORD000175,C3170,P006,2025-03-04,2025-03-06,2,0.00,BlueDart
ORD000176,C2087,P006,2025-06-21,2025-07-05,4,0.00,SwiftEx
ORD000177,C4911,P002,2025-08-28,2025-08-31,2,0.00,DHL
ORD000178,C0794,P005,2025-06-05,2025-06-07,5,0.15,BlueDart
ORD000179,C3725,P005,2025-08-13,2025-08-17,5,0.00,FedEx
ORD000180,C0742,P003,2025-09-25,2025-10-06,4,0.15,SwiftEx
ORD000181,C4961,P004,2025-01-15,2025-01-16,2,0.10,FedEx
ORD000182,C2416,P005,2025-11-12,2025-11-28,4,0.05,SwiftEx
ORD000183,C4755,P007,2025-01-21,2025-01-25,1,0.15,DHL
ORD000184,C4168,P005,2025-07-21,2025-07-22,1,0.15,FedEx
ORD000185,C3367,P006,2025-11-30,2025-12-04,5,0.15,DHL
ORD000186,C0791,P001,2025-09-27,2025-09-28,2,0.10,BlueDart
ORD000187,C2992,P004,2025-11-13,2025-11-17,3,0.10,DHL
ORD000188,C1804,P004,2026-04-11,,4,0.05,DHL
ORD000189,C0792,P006,2025-11-27,2025-11-28,4,0.05,FedEx
ORD000190,C1876,P005,2025-05-25,2025-05-29,5,0.10,BlueDart
ORD000191,C3701,P003,2026-04-01,2026-04-14,3,0.15,SwiftEx
ORD000192,C2565,P006,2025-09-11,2025-09-22,2,0.05,SwiftEx
ORD000193,C4960,P005,2026-02-07,2026-02-22,1,0.15,SwiftEx
ORD000194,C1954,P002,2026-02-04,2026-02-08,5,0.05,BlueDart
ORD000195,C4285,P001,2025-03-21,2025-03-31,3,0.10,SwiftEx
ORD000196,C2584,P006,2025-04-01,2025-04-02,1,0.15,DHL
ORD000197,C1864,P004,2025-05-05,2025-05-18,3,0.10,SwiftEx
ORD000198,C0156,P004,2025-11-08,2025-11-23,3,0.10,SwiftEx
ORD000199,C2864,P001,2025-05-17,2025-05-19,4,0.00,DHL
ORD000200,C3588,P005,2025-09-12,2025-09-14,1,0.05,DHL
ORD000201,C3920,P007,2025-02-26,2025-02-28,3,0.10,BlueDart
ORD000202,C2829,P005,2025-06-26,2025-07-10,5,0.15,SwiftEx
ORD000203,C4262,P004,2025-04-17,2025-04-21,1,0.00,BlueDart
ORD000204,C2020,P001,2025-09-17,2025-09-28,4,0.10,SwiftEx
ORD000205,C4409,P005,2025-12-26,2025-12-27,5,0.10,FedEx
ORD000206,C0627,P001,2025-02-22,2025-03-06,4,0.00,SwiftEx
ORD000207,C4320,P003,2026-03-25,2026-03-29,2,0.15,BlueDart
ORD000208,C2590,P005,2026-03-08,2026-03-11,3,0.10,BlueDart
ORD000209,C2886,P005,2026-03-07,2026-03-11,2,0.05,BlueDart
ORD000210,C3750,P002,2025-02-07,2025-02-11,5,0.05,FedEx
ORD000211,C0343,P002,2025-11-07,2025-11-08,5,0.10,BlueDart
ORD000212,C4201,P005,2026-03-22,2026-03-24,2,0.00,DHL
ORD000213,C4724,P002,2025-02-21,2025-03-07,2,0.05,SwiftEx
ORD000214,C3047,P005,2026-04-26,2026-04-30,5,0.05,BlueDart
ORD000215,C4698,P007,2025-08-25,2025-08-28,2,0.15,FedEx
ORD000216,C3222,P004,2025-01-26,2025-01-29,1,0.10,BlueDart
ORD000217,C4715,P003,2025-03-13,2025-03-14,4,0.30,BlueDart
ORD000218,C3706,P002,2025-08-03,2025-08-14,5,0.05,SwiftEx
ORD000219,C3926,P004,2025-06-22,2025-06-23,2,0.00,BlueDart
ORD000220,C1441,P006,2025-12-24,2025-12-26,1,0.10,FedEx
ORD000221,C4879,P005,2025-06-07,2025-06-11,3,0.15,FedEx
ORD000222,C3829,P007,2026-01-22,2026-01-24,3,0.15,BlueDart
ORD000223,C2634,P003,2026-02-10,2026-02-11,5,0.25,DHL
ORD000224,C1747,P005,2025-07-16,2025-07-18,3,0.10,DHL
ORD000225,C2581,P004,2025-06-27,2025-07-13,2,0.15,SwiftEx
ORD000226,C4477,P002,2025-04-10,2025-04-12,3,0.15,DHL
ORD000227,C2629,P003,2025-03-28,2025-03-30,5,0.25,DHL
ORD000228,C1863,P006,2026-01-26,2026-01-28,3,0.15,BlueDart
ORD000229,C3653,P004,2025-06-27,2025-06-30,4,0.15,FedEx
ORD000230,C3164,P005,2025-03-01,,3,0.10,DHL
ORD000231,C2619,P006,2025-11-25,2025-11-26,5,0.00,DHL
ORD000232,C1712,P002,2025-03-28,2025-04-11,5,0.10,SwiftEx
ORD000233,C2459,P003,2025-07-05,2025-07-07,3,0.15,DHL
ORD000234,C2732,P002,2026-01-13,2026-01-16,5,0.00,FedEx
ORD000235,C0353,P005,2025-11-15,2025-11-17,5,0.15,DHL
ORD000236,C0431,P007,2025-07-17,2025-07-18,3,0.10,DHL
ORD000237,C1341,P001,2026-03-09,2026-03-13,1,0.15,DHL
ORD000238,C3048,P004,2025-09-03,2025-09-04,2,0.10,FedEx
ORD000239,C2896,P001,2026-01-12,2026-01-16,5,0.15,FedEx
ORD000240,C4282,P007,2025-07-01,2025-07-04,5,0.10,FedEx
ORD000241,C2130,P006,2025-03-20,2025-03-24,2,0.05,DHL
ORD000242,C1213,P006,2025-08-20,2025-09-03,5,0.05,SwiftEx
ORD000243,C1740,P006,2025-09-26,2025-09-28,2,0.10,DHL
ORD000244,C3529,P001,2025-09-13,2025-09-14,1,0.00,DHL
ORD000245,C1289,P003,2025-12-07,2025-12-09,3,0.20,DHL
ORD000246,C3390,P007,2025-11-29,2025-12-01,2,0.10,BlueDart
ORD000247,C0466,P003,2025-08-21,2025-08-31,3,0.30,SwiftEx
ORD000248,C0653,P007,2026-01-06,2026-01-10,1,0.05,BlueDart
ORD000249,C3077,P005,2026-04-21,2026-04-25,2,0.10,BlueDart
ORD000250,C3674,P002,2025-08-17,2025-08-20,1,0.15,FedEx
ORD000251,C4203,P004,2025-07-23,2025-07-25,5,0.05,FedEx
ORD000252,C3808,P001,2025-04-04,2025-04-08,4,0.00,DHL
ORD000253,C1528,P007,2025-12-22,2025-12-24,2,0.00,BlueDart
ORD000254,C2521,P004,2025-12-16,2025-12-20,4,0.00,DHL
ORD000255,C0235,P002,2026-01-27,2026-01-29,3,0.10,BlueDart
ORD000256,C4678,P001,2025-07-29,2025-07-30,1,0.00,BlueDart
ORD000257,C3159,P001,2026-03-04,2026-03-08,4,0.00,FedEx
ORD000258,C4388,P001,2025-08-20,2025-09-02,4,0.15,SwiftEx
ORD000259,C0038,P007,2025-05-12,2025-05-13,5,0.00,FedEx
ORD000260,C2544,P003,2025-12-29,2025-12-31,5,0.25,FedEx
ORD000261,C4269,P005,2026-03-09,2026-03-19,4,0.15,SwiftEx
ORD000262,C0156,P002,2026-03-21,2026-03-23,4,0.10,BlueDart
ORD000263,C1814,P006,2025-08-29,2025-08-31,5,0.00,FedEx
ORD000264,C2361,P004,2025-06-18,2025-06-21,5,0.00,FedEx
ORD000265,C2598,P002,2026-01-25,2026-01-28,4,0.15,FedEx
ORD000266,C2034,P003,2026-03-01,2026-03-14,5,0.30,SwiftEx
ORD000267,C1769,P005,2025-03-19,2025-03-21,5,0.05,DHL
ORD000268,C0139,P007,2025-09-07,2025-09-20,4,0.00,SwiftEx
ORD000269,C0783,P001,2026-01-23,2026-01-24,2,0.05,BlueDart
ORD000270,C2125,P003,2026-02-22,2026-02-24,4,0.25,FedEx
ORD000271,C3298,P007,2025-09-11,2025-09-27,5,0.10,SwiftEx
ORD000272,C0112,P003,2025-10-27,2025-10-30,1,0.20,DHL
ORD000273,C1525,P006,2026-03-30,2026-03-31,2,0.10,FedEx
ORD000274,C1193,P004,2026-03-14,2026-03-18,1,0.15,FedEx
ORD000275,C3965,P003,2025-05-04,2025-05-17,1,0.30,SwiftEx
ORD000276,C0939,P003,2025-12-12,2025-12-14,4,0.30,FedEx
ORD000277,C0699,P002,2025-07-10,2025-07-14,5,0.05,DHL
ORD000278,C1691,P002,2026-01-26,2026-01-28,1,0.00,FedEx
ORD000279,C4845,P006,2025-07-18,2025-07-31,3,0.10,SwiftEx
ORD000280,C4971,P007,2025-11-15,2025-11-18,2,0.00,BlueDart
ORD000281,C3704,P003,2026-01-20,2026-01-21,3,0.25,DHL
ORD000282,C0615,P002,2025-04-15,2025-04-18,1,0.00,BlueDart
ORD000283,C3934,P006,2025-05-04,2025-05-15,3,0.00,SwiftEx
ORD000284,C4017,P003,2026-02-25,2026-03-10,2,0.20,SwiftEx
ORD000285,C0169,P006,2025-10-12,2025-10-16,3,0.05,DHL
ORD000286,C1009,P001,2026-01-27,2026-01-28,5,0.05,BlueDart
ORD000287,C4127,P006,2026-04-16,2026-04-19,4,0.00,BlueDart
ORD000288,C4019,P005,2025-01-10,2025-01-13,3,0.00,BlueDart
ORD000289,C2276,P005,2025-03-03,2025-03-07,5,0.15,DHL
ORD000290,C0514,P001,2026-03-04,2026-03-07,2,0.05,FedEx
ORD000291,C4988,P005,2025-02-25,2025-02-27,5,0.05,DHL
ORD000292,C1876,P007,2026-03-03,2026-03-07,4,0.05,FedEx
ORD000293,C2998,P007,2025-10-08,2025-10-12,1,0.05,DHL
ORD000294,C2429,P002,2025-05-29,2025-06-09,4,0.05,SwiftEx
ORD000295,C1909,P006,2025-10-10,2025-10-12,1,0.15,FedEx
ORD000296,C0414,P007,2025-09-06,2025-09-09,3,0.15,DHL
ORD000297,C2774,P002,2025-10-22,2025-11-03,1,0.00,SwiftEx
ORD000298,C1949,P007,2026-03-24,2026-03-25,5,0.15,BlueDart
ORD000299,C2356,P005,2025-11-02,2025-11-03,1,0.00,BlueDart
ORD000300,C1226,P002,2025-08-21,2025-08-24,4,0.00,BlueDart
ORD000301,C0092,P004,2025-08-14,2025-08-15,2,0.00,DHL
ORD000302,C4523,P005,2025-05-10,2025-05-12,5,0.15,DHL
ORD000303,C1024,P001,2025-08-06,2025-08-09,1,0.15,DHL
ORD000304,C4890,P001,2025-03-05,,3,0.05,SwiftEx
ORD000305,C4186,P002,2026-04-01,2026-04-04,2,0.15,FedEx
ORD000306,C0503,P005,2025-05-09,2025-05-24,3,0.10,SwiftEx
ORD000307,C3046,P006,2025-11-15,2025-11-16,4,0.00,DHL
ORD000308,C3855,P005,2025-09-27,2025-09-28,4,0.15,BlueDart
ORD000309,C2506,P005,2025-11-05,2025-11-07,2,0.05,FedEx
ORD000310,C3407,P002,2026-02-14,2026-02-18,1,0.10,FedEx
ORD000311,C1925,P006,2025-03-19,2025-03-20,4,0.00,FedEx
ORD000312,C3767,P001,2025-01-10,2025-01-11,2,0.15,BlueDart
ORD000313,C4073,P004,2025-09-11,2025-09-14,2,0.15,BlueDart
ORD000314,C4977,P006,2025-08-18,2025-08-20,4,0.05,DHL
ORD000315,C0999,P001,2025-09-21,2025-09-24,3,0.05,BlueDart
ORD000316,C2238,P006,2025-01-14,2025-01-25,4,0.00,SwiftEx
ORD000317,C2697,P005,2026-01-30,2026-01-31,3,0.15,DHL
ORD000318,C4886,P002,2025-06-11,2025-06-14,4,0.05,DHL
ORD000319,C4996,P006,2025-04-07,2025-04-10,4,0.00,FedEx
ORD000320,C2655,P006,2025-12-19,2025-12-21,1,0.05,BlueDart
ORD000321,C3764,P004,2026-03-27,2026-04-07,4,0.15,SwiftEx
ORD000322,C4920,P007,2025-09-08,2025-09-21,4,0.15,SwiftEx
ORD000323,C4396,P007,2025-01-25,2025-01-28,3,0.10,DHL
ORD000324,C0740,P001,2026-04-06,2026-04-09,1,0.05,FedEx
ORD000325,C0111,P003,2026-04-13,2026-04-16,5,0.20,DHL
ORD000326,C0932,P004,2025-07-11,2025-07-15,3,0.15,DHL
ORD000327,C1821,P001,2026-02-25,2026-02-27,1,0.05,BlueDart
ORD000328,C0219,P004,2026-02-24,2026-03-10,4,0.10,SwiftEx
ORD000329,C4722,P007,2025-05-22,2025-06-04,3,0.05,SwiftEx
ORD000330,C2345,P002,2026-01-10,2026-01-12,5,0.15,BlueDart
ORD000331,C0694,P003,2025-02-11,2025-02-13,3,0.30,DHL
ORD000332,C1069,P004,2025-03-07,2025-03-09,4,0.05,FedEx
ORD000333,C0430,P005,2026-01-30,2026-01-31,4,0.15,DHL
ORD000334,C3679,P004,2025-06-19,2025-06-21,1,0.15,BlueDart
ORD000335,C1806,P007,2026-02-12,2026-02-16,2,0.00,DHL
ORD000336,C1813,P003,2025-09-22,2025-09-23,1,0.30,FedEx
ORD000337,C0763,P002,2025-12-12,2025-12-25,1,0.05,SwiftEx
ORD000338,C0122,P007,2025-11-04,2025-11-19,5,0.05,SwiftEx
ORD000339,C2162,P001,2025-11-21,2025-12-04,5,0.10,SwiftEx
ORD000340,C1501,P007,2025-12-25,2026-01-08,2,0.05,SwiftEx
ORD000341,C0372,P005,2025-06-14,2025-06-25,2,0.10,SwiftEx
ORD000342,C0505,P005,2025-11-26,2025-12-09,2,0.10,SwiftEx
ORD000343,C2592,P005,2025-10-30,2025-11-01,5,0.05,DHL
ORD000344,C3840,P004,2025-07-26,2025-07-29,5,0.10,DHL
ORD000345,C3624,P005,2025-06-03,2025-06-13,4,0.10,SwiftEx
ORD000346,C3882,P001,2025-06-02,2025-06-06,2,0.00,FedEx
ORD000347,C0446,P006,2025-11-22,2025-11-23,1,0.00,BlueDart
ORD000348,C4615,P003,2025-06-08,2025-06-12,3,0.30,BlueDart
ORD000349,C4951,P004,2025-01-04,2025-01-19,2,0.15,SwiftEx
ORD000350,C0509,P002,2025-04-29,2025-05-02,2,0.00,FedEx
ORD000351,C0047,P003,2025-05-25,2025-05-27,4,0.20,BlueDart
ORD000352,C2807,P002,2026-01-19,2026-01-22,5,0.15,BlueDart
ORD000353,C2201,P001,2025-08-18,2025-08-19,2,0.00,BlueDart
ORD000354,C1748,P002,2025-08-08,2025-08-11,1,0.10,FedEx
ORD000355,C2077,P004,2026-03-28,2026-03-31,3,0.15,DHL
ORD000356,C4967,P003,2025-12-31,2026-01-02,1,0.20,DHL
ORD000357,C4350,P006,2026-02-19,2026-02-22,1,0.05,BlueDart
ORD000358,C3783,P005,2025-02-08,2025-02-11,5,0.10,FedEx
ORD000359,C1899,P001,2025-11-24,2025-11-26,3,0.15,DHL
ORD000360,C1303,P002,2025-09-06,2025-09-09,5,0.15,FedEx
ORD000361,C4806,P006,2025-06-10,2025-06-21,1,0.05,SwiftEx
ORD000362,C1627,P006,2026-02-24,2026-03-11,5,0.10,SwiftEx
