return_id,order_id,return_reason
RET200253,ORD001953,Late Delivery
RET200254,ORD001959,Late Delivery
RET200255,ORD001963,Late Delivery
RET200256,ORD001965,Late Delivery
RET200257,ORD001966,Late Delivery
RET200258,ORD001978,Late Delivery
RET200259,ORD001979,Late Delivery
RET200260,ORD001983,Late Delivery
RET200261,ORD002022,Late Delivery
RET200262,ORD002024,Defective
RET200263,ORD002028,Wrong Item
RET200264,ORD002031,Changed Mind
RET200265,ORD002037,Late Delivery
RET200266,ORD002045,Late Delivery
RET200267,ORD002051,Late Delivery
RET200268,ORD002053,Late Delivery
RET200269,ORD002061,Late Delivery
RET200270,ORD002067,Late Delivery
RET200271,ORD002070,Late Delivery
RET200272,ORD002084,Late Delivery
RET200273,ORD002087,Late Delivery
RET200274,ORD002088,Late Delivery
RET200275,ORD002093,Late Delivery
RET200276,ORD002107,Late Delivery
RET200277,ORD002109,Late Delivery
RET200278,ORD002113,Changed Mind
RET200279,ORD002122,Late Delivery
RET200280,ORD002125,Late Delivery
RET200281,ORD002128,Late Delivery
RET200282,ORD002133,Late Delivery
RET200283,ORD002143,Changed Mind
RET200284,ORD002148,Late Delivery
RET200285,ORD002154,Late Delivery
RET200286,ORD002159,Wrong Item
RET200287,ORD002163,Late Delivery
RET200288,ORD002165,Late Delivery
RET200289,ORD002167,Defective
RET200290,ORD002170,Late Delivery
RET200291,ORD002189,Late Delivery
RET200292,ORD002191,Changed Mind
RET200293,ORD002207,Late Delivery
RET200294,ORD002208,Late Delivery
RET200295,ORD002209,Wrong Item
RET200296,ORD002212,Late Delivery
RET200297,ORD002217,Late Delivery
RET200298,ORD002219,Late Delivery
RET200299,ORD002220,Late Delivery
RET200300,ORD002231,Late Delivery
RET200301,ORD002233,Late Delivery
RET200302,ORD002248,Late Delivery
RET200303,ORD002249,Late Delivery
RET200304,ORD002250,Wrong Item
RET200305,ORD002254,Late Delivery
RET200306,ORD002255,Late Delivery
RET200307,ORD002257,Late Delivery
RET200308,ORD002258,Late Delivery
RET200309,ORD002279,Late Delivery
RET200310,ORD002283,Late Delivery
RET200311,ORD002298,Late Delivery
RET200312,ORD002318,Changed Mind
RET200313,ORD002345,Late Delivery
RET200314,ORD002347,Late Delivery
RET200315,ORD002360,Late Delivery
RET200316,ORD002364,Defective
RET200317,ORD002380,Late Delivery
RET200318,ORD002385,Late Delivery
RET200319,ORD002388,Defective
RET200320,ORD002397,Defective
RET200321,ORD002403,Late Delivery
RET200322,ORD002404,Late Delivery
RET200323,ORD002415,Late Delivery
RET200324,ORD002419,Late Delivery
RET200325,ORD002421,Defective
RET200326,ORD002429,Late Delivery
RET200327,ORD002436,Late Delivery
RET200328,ORD002438,Late Delivery
RET200329,ORD002446,Wrong Item
RET200330,ORD002450,Late Delivery
RET200331,ORD002461,Late Delivery
RET200332,ORD002462,Late Delivery
RET200333,ORD002473,Late Delivery
RET200334,ORD002475,Late Delivery
RET200335,ORD002494,Late Delivery
RET200336,ORD002507,Late Delivery
RET200337,ORD002512,Late Delivery
RET200338,ORD002515,Late Delivery
RET200339,ORD002520,Late Delivery
RET200340,ORD002522,Late Delivery
RET200341,ORD002524,Late Delivery
RET200342,ORD002525,Changed Mind
RET200343,ORD002527,Late Delivery
RET200344,ORD002531,Late Delivery
RET200345,ORD002543,Late Delivery
RET200346,ORD002545,Late Delivery
RET200347,ORD002583,Late Delivery
RET200348,ORD002610,Late Delivery
RET200349,ORD002613,Late Delivery
RET200350,ORD002614,Late Delivery
RET200351,ORD002617,Defective
RET200352,ORD002629,Late Delivery
RET200353,ORD002634,Changed Mind
RET200354,ORD002646,Late Delivery
RET200355,ORD002665,Late Delivery
RET200356,ORD002667,Late Delivery
RET200357,ORD002669,Late Delivery
RET200358,ORD002675,Late Delivery
RET200359,ORD002681,Late Delivery
RET200360,ORD002685,Late Delivery
RET200361,ORD002694,Late Delivery
RET200362,ORD002701,Late Delivery
RET200363,ORD002705,Late Delivery
RET200364,ORD002719,Late Delivery
RET200365,ORD002721,Late Delivery
RET200366,ORD002726,Late Delivery
RET200367,ORD002731,Late Delivery
RET200368,ORD002744,Late Delivery
RET200369,ORD002746,Late Delivery
RET200370,ORD002762,Late Delivery
RET200371,ORD002766,Late Delivery
RET200372,ORD002771,Late Delivery
RET200373,ORD002776,Late Delivery
RET200374,ORD002793,Defective
RET200375,ORD002798,Wrong Item
RET200376,ORD002799,Late Delivery
RET200377,ORD002806,Wrong Item
RET200378,ORD002811,Late Delivery
RET200379,ORD002812,Late Delivery
RET200380,ORD002816,Late Delivery
RET200381,ORD002818,Late Delivery
RET200382,ORD002820,Late Delivery
RET200383,ORD002830,Late Delivery
RET200384,ORD002832,Late Delivery
RET200385,ORD002842,Late Delivery
RET200386,ORD002844,Wrong Item
RET200387,ORD002846,Late Delivery
RET200388,ORD002861,Late Delivery
RET200389,ORD002868,Defective
RET200390,ORD002870,Late Delivery
RET200391,ORD002877,Late Delivery
RET200392,ORD002878,Defective
RET200393,ORD002899,Late Delivery
RET200394,ORD002901,Wrong Item
RET200395,ORD002907,Late Delivery
RET200396,ORD002910,Late Delivery
RET200397,ORD002919,Wrong Item
RET200398,ORD002926,Late Delivery
RET200399,ORD002928,Late Delivery
RET200400,ORD002937,Late Delivery
RET200401,ORD002939,Late Delivery
RET200402,ORD002944,Wrong Item
RET200403,ORD002971,Late Delivery
RET200404,ORD002975,Late Delivery
RET200405,ORD002976,Changed Mind
RET200406,ORD002984,Late Delivery
RET200407,ORD002986,Wrong Item
RET200408,ORD002994,Late Delivery
RET200409,ORD003017,Late Delivery
RET200410,ORD003028,Late Delivery
RET200411,ORD003035,Late Delivery
RET200412,ORD003044,Defective
RET200413,ORD003059,Late Delivery
RET200414,ORD003062,Late Delivery
RET200415,ORD003065,Late Delivery
RET200416,ORD003068,Late Delivery
RET200417,ORD003077,Wrong Item
RET200418,ORD003090,Late Delivery
RET200419,ORD003117,Late Delivery
RET200420,ORD003121,Late Delivery
RET200421,ORD003126,Defective
RET200422,ORD003131,Late Delivery
RET200423,ORD003132,Late Delivery
RET200424,ORD003156,Late Delivery
RET200425,ORD003158,Changed Mind
RET200426,ORD003169,Late Delivery
RET200427,ORD003176,Late Delivery
RET200428,ORD003180,Late Delivery
RET200429,ORD003182,Changed Mind
RET200430,ORD003188,Late Delivery
RET200431,ORD003198,Defective
RET200432,ORD003211,Late Delivery
RET200433,ORD003215,Late Delivery
RET200434,ORD003226,Defective
RET200435,ORD003231,Late Delivery
RET200436,ORD003236,Late Delivery
RET200437,ORD003242,Late Delivery
RET200438,ORD003243,Late Delivery
RET200439,ORD003252,Changed Mind
RET200440,ORD003260,Late Delivery
RET200441,ORD003261,Late Delivery
RET200442,ORD003264,Late Delivery
RET200443,ORD003265,Late Delivery
RET200444,ORD003267,Wrong Item
RET200445,ORD003283,Late Delivery
RET200446,ORD003288,Late Delivery
RET200447,ORD003301,Changed Mind
RET200448,ORD003303,Late Delivery
RET200449,ORD003305,Late Delivery
RET200450,ORD003306,Late Delivery
RET200451,ORD003311,Late Delivery
RET200452,ORD003317,Late Delivery
RET200453,ORD003319,Late Delivery
RET200454,ORD003323,Late Delivery
RET200455,ORD003329,Late Delivery
RET200456,ORD003342,Late Delivery
RET200457,ORD003347,Late Delivery
RET200458,ORD003354,Late Delivery
RET200459,ORD003374,Late Delivery
RET200460,ORD003382,Late Delivery
RET200461,ORD003385,Late Delivery
RET200462,ORD003388,Late Delivery
RET200463,ORD003405,Late Delivery
RET200464,ORD003408,Late Delivery
RET200465,ORD003413,Late Delivery
RET200466,ORD003433,Late Delivery
RET200467,ORD003440,Late Delivery
RET200468,ORD003457,Late Delivery
RET200469,ORD003464,Late Delivery
RET200470,ORD003469,Late Delivery
RET200471,ORD003479,Late Delivery
RET200472,ORD003493,Late Delivery
RET200473,ORD003495,Late Delivery
RET200474,ORD003498,Defective
RET200475,ORD003501,Late Delivery
RET200476,ORD003503,Late Delivery
RET200477,ORD003506,Late Delivery
RET200478,ORD003508,Late Delivery
RET200479,ORD003510,Late Delivery
RET200480,ORD003522,Late Delivery
RET200481,ORD003523,Late Delivery
RET200482,ORD003526,Wrong Item
RET200483,ORD003530,Late Delivery
RET200484,ORD003538,Late Delivery
RET200485,ORD003543,Wrong Item
RET200486,ORD003559,Late Delivery
RET200487,ORD003571,Late Delivery
RET200488,ORD003579,Late Delivery
RET200489,ORD003582,Late Delivery
RET200490,ORD003585,Late Delivery
RET200491,ORD003589,Late Delivery
RET200492,ORD003590,Late Delivery
RET200493,ORD003602,Late Delivery
RET200494,ORD003615,Late Delivery
RET200495,ORD003618,Late Delivery
RET200496,ORD003627,Late Delivery
RET200497,ORD003629,Late Delivery
RET200498,ORD003638,Defective
RET200499,ORD003643,Late Delivery
RET200500,ORD003650,Late Delivery
RET200501,ORD003656,Late Delivery
RET200502,ORD003659,Late Delivery
RET200503,ORD003663,Late Delivery
RET200504,ORD003671,Late Delivery
RET200505,ORD003686,Defective
RET200506,ORD003704,Late Delivery
RET200507,ORD003705,Late Delivery
RET200508,ORD003717,Late Delivery
RET200509,ORD003726,Late Delivery
RET200510,ORD003727,Late Delivery
RET200511,ORD003736,Defective
RET200512,ORD003750,Late Delivery
RET200513,ORD003758,Changed Mind
RET200514,ORD003775,Late Delivery
RET200515,ORD003792,Late Delivery
RET200516,ORD003800,Late Delivery
RET200517,ORD003806,Late Delivery
RET200518,ORD003809,Changed Mind
RET200519,ORD003812,Late Delivery
RET200520,ORD003818,Late Delivery
RET200521,ORD003822,Wrong Item
RET200522,ORD003824,Late Delivery
RET200523,ORD003853,Late Delivery
RET200524,ORD003872,Late Delivery
RET200525,ORD003882,Changed Mind
RET200526,ORD003908,Late Delivery
RET200527,ORD003918,Late Delivery
RET200528,ORD003922,Late Delivery
RET200529,ORD003933,Late Delivery
RET200530,ORD003954,Late Delivery
RET200531,ORD003960,Late Delivery
RET200532,ORD003965,Late Delivery
RET200533,ORD003980,Late Delivery
RET200534,ORD003986,Late Delivery
RET200535,ORD003988,Changed Mind
RET200536,ORD003994,Changed Mind
RET200537,ORD004001,Late Delivery
RET200538,ORD004004,Late Delivery
RET200539,ORD004006,Late Delivery
RET200540,ORD004008,Late Delivery
RET200541,ORD004016,Late Delivery
RET200542,ORD004036,Late Delivery
RET200543,ORD004042,Late Delivery
RET200544,ORD004044,Wrong Item
RET200545,ORD004045,Late Delivery
RET200546,ORD004050,Late Delivery
RET200547,ORD004053,Late Delivery
RET200548,ORD004055,Late Delivery
RET200549,ORD004061,Late Delivery
RET200550,ORD004091,Late Delivery
RET200551,ORD004092,Late Delivery
RET200552,ORD004093,Late Delivery
RET200553,ORD004096,Late Delivery
RET200554,ORD004098,Late Delivery
RET200555,ORD004108,Late Delivery
RET200556,ORD004110,Late Delivery
RET200557,ORD004111,Late Delivery
RET200558,ORD004119,Late Delivery
RET200559,ORD004129,Late Delivery
RET200560,ORD004131,Late Delivery
RET200561,ORD004140,Late Delivery
RET200562,ORD004173,Late Delivery
RET200563,ORD004179,Late Delivery
RET200564,ORD004199,Wrong Item
RET200565,ORD004204,Late Delivery
RET200566,ORD004221,Late Delivery
RET200567,ORD004231,Late Delivery
RET200568,ORD004240,Late Delivery
RET200569,ORD004242,Changed Mind
RET200570,ORD004243,Late Delivery
RET200571,ORD004255,Late Delivery
RET200572,ORD004257,Late Delivery
RET200573,ORD004274,Late Delivery
RET200574,ORD004277,Late Delivery
RET200575,ORD004286,Late Delivery
RET200576,ORD004293,Late Delivery
RET200577,ORD004296,Late Delivery
RET200578,ORD004312,Late Delivery
RET200579,ORD004313,Late Delivery
RET200580,ORD004319,Late Delivery
RET200581,ORD004325,Late Delivery
RET200582,ORD004327,Late Delivery
RET200583,ORD004337,Defective
RET200584,ORD004342,Late Delivery
RET200585,ORD004343,Late Delivery
RET200586,ORD004346,Late Delivery
RET200587,ORD004347,Changed Mind
RET200588,ORD004352,Defective
RET200589,ORD004354,Late Delivery
RET200590,ORD004355,Late Delivery
RET200591,ORD004365,Late Delivery
RET200592,ORD004366,Late Delivery
RET200593,ORD004373,Late Delivery
RET200594,ORD004374,Late Delivery
RET200595,ORD004377,Late Delivery
RET200596,ORD004378,Late Delivery
RET200597,ORD004380,Changed Mind
RET200598,ORD004398,Defective
RET200599,ORD004402,Late Delivery
RET200600,ORD004404,Late Delivery
RET200601,ORD004409,Late Delivery
RET200602,ORD004414,Late Delivery
RET200603,ORD004421,Late Delivery
RET200604,ORD004436,Late Delivery
RET200605,ORD004440,Late Delivery
RET200606,ORD004450,Late Delivery
RET200607,ORD004451,Late Delivery
RET200608,ORD004458,Late Delivery
RET200609,ORD004467,Late Delivery
RET200610,ORD004468,Wrong Item
RET200611,ORD004474,Late Delivery
RET200612,ORD004476,Late Delivery
RET200613,ORD004478,Late Delivery
RET200614,ORD004485,Late Delivery
RET200615,ORD004502,Defective
RET200616,ORD004530,Late Delivery
RET200617,ORD004531,Late Delivery
RET200618,ORD004533,Late Delivery
RET200619,ORD004536,Late Delivery
RET200620,ORD004538,Late Delivery
RET200621,ORD004539,Changed Mind
RET200622,ORD004541,Late Delivery
RET200623,ORD004542,Late Delivery
RET200624,ORD004552,Late Delivery
RET200625,ORD004562,Late Delivery
RET200626,ORD004571,Late Delivery
RET200627,ORD004577,Late Delivery
RET200628,ORD004589,Late Delivery
RET200629,ORD004591,Late Delivery
RET200630,ORD004593,Late Delivery
RET200631,ORD004599,Late Delivery
RET200632,ORD004611,Wrong Item
RET200633,ORD004615,Late Delivery
RET200634,ORD004621,Late Delivery
RET200635,ORD004622,Late Delivery
RET200636,ORD004633,Late Delivery
RET200637,ORD004635,Late Delivery
RET200638,ORD004637,Late Delivery
RET200639,ORD004638,Wrong Item
RET200640,ORD004640,Wrong Item
RET200641,ORD004662,Late Delivery
RET200642,ORD004663,Late Delivery
RET200643,ORD004676,Late Delivery
RET200644,ORD004683,Wrong Item
RET200645,ORD004692,Wrong Item
RET200646,ORD004698,Late Delivery
RET200647,ORD004700,Late Delivery
RET200648,ORD004728,Late Delivery
RET200649,ORD004738,Late Delivery
RET200650,ORD004753,Late Delivery
RET200651,ORD004760,Defective
RET200652,ORD004763,Late Delivery
RET200653,ORD004768,Late Delivery
RET200654,ORD004786,Late Delivery
RET200655,ORD004787,Late Delivery
RET200656,ORD004797,Late Delivery
RET200657,ORD004813,Late Delivery
RET200658,ORD004817,Late Delivery
RET200659,ORD004825,Late Delivery
RET200660,ORD004838,Late Delivery
RET200661,ORD004839,Defective
RET200662,ORD004846,Late Delivery
RET200663,ORD004857,Late Delivery
RET200664,ORD004864,Late Delivery
RET200665,ORD004886,Changed Mind
RET200666,ORD004898,Late Delivery
RET200667,ORD004917,Late Delivery
RET200668,ORD004928,Late Delivery
RET200669,ORD004950,Late Delivery
RET200670,ORD004962,Late Delivery
RET200671,ORD004972,Late Delivery
RET200672,ORD004974,Late Delivery
RET200673,ORD004975,Late Delivery
RET200674,ORD004987,Changed Mind
RET200675,ORD004988,Changed Mind
RET200676,ORD004990,Late Delivery
RET200677,ORD004991,Late Delivery
RET200678,ORD004994,Late Delivery
RET200679,ORD004997,Late Delivery
RET200680,ORD005007,Changed Mind
RET200681,ORD005008,Late Delivery
RET200682,ORD005013,Late Delivery
RET200683,ORD005031,Late Delivery
RET200684,ORD005032,Late Delivery
RET200685,ORD005035,Late Delivery
RET200686,ORD005041,Late Delivery
RET200687,ORD005047,Late Delivery
RET200688,ORD005059,Wrong Item
RET200689,ORD005066,Late Delivery
RET200690,ORD005080,Late Delivery
RET200691,ORD005098,Late Delivery
RET200692,ORD005100,Changed Mind
RET200693,ORD005127,Late Delivery
RET200694,ORD005136,Late Delivery
RET200695,ORD005137,Late Delivery
RET200696,ORD005140,Late Delivery
RET200697,ORD005141,Late Delivery
RET200698,ORD005144,Late Delivery
RET200699,ORD005155,Late Delivery
RET200700,ORD005160,Late Delivery
RET200701,ORD005173,Late Delivery
RET200702,ORD005182,Late Delivery
RET200703,ORD005194,Late Delivery
RET200704,ORD005203,Defective
RET200705,ORD005204,Late Delivery
RET200706,ORD005214,Late Delivery
RET200707,ORD005221,Late Delivery
RET200708,ORD005225,Wrong Item
RET200709,ORD005248,Defective
RET200710,ORD005272,Late Delivery
RET200711,ORD005276,Late Delivery
RET200712,ORD005288,Late Delivery
RET200713,ORD005290,Late Delivery
RET200714,ORD005306,Changed Mind
RET200715,ORD005324,Changed Mind
RET200716,ORD005325,Late Delivery
RET200717,ORD005327,Late Delivery
RET200718,ORD005336,Late Delivery
RET200719,ORD005348,Late Delivery
RET200720,ORD005350,Late Delivery
RET200721,ORD005356,Late Delivery
RET200722,ORD005363,Late Delivery
RET200723,ORD005371,Late Delivery
RET200724,ORD005372,Wrong Item
RET200725,ORD005389,Late Delivery
RET200726,ORD005397,Late Delivery
RET200727,ORD005402,Late Delivery
RET200728,ORD005409,Late Delivery
RET200729,ORD005418,Late Delivery
RET200730,ORD005421,Late Delivery
RET200731,ORD005432,Late Delivery
RET200732,ORD005437,Late Delivery
RET200733,ORD005442,Late Delivery
RET200734,ORD005448,Late Delivery
RET200735,ORD005449,Late Delivery
RET200736,ORD005461,Late Delivery
RET200737,ORD005464,Late Delivery
RET200738,ORD005466,Late Delivery
RET200739,ORD005468,Late Delivery
RET200740,ORD005471,Late Delivery
RET200741,ORD005472,Late Delivery
RET200742,ORD005485,Late Delivery
RET200743,ORD005493,Late Delivery
RET200744,ORD005497,Late Delivery
RET200745,ORD005507,Late Delivery
RET200746,ORD005508,Late Delivery
RET200747,ORD005521,Late Delivery
RET200748,ORD005526,Late Delivery
RET200749,ORD005531,Late Delivery
RET200750,ORD005535,Late Delivery
RET200751,ORD005539,Late Delivery
RET200752,ORD005540,Late Delivery
RET200753,ORD005556,Late Delivery
RET200754,ORD005567,Late Delivery
RET200755,ORD005571,Late Delivery
RET200756,ORD005577,Late Delivery
RET200757,ORD005589,Late Delivery
RET200758,ORD005595,Late Delivery
RET200759,ORD005602,Wrong Item
RET200760,ORD005608,Late Delivery
RET200761,ORD005610,Late Delivery
RET200762,ORD005622,Late Delivery
RET200763,ORD005636,Late Delivery
RET200764,ORD005651,Late Delivery
RET200765,ORD005666,Late Delivery
RET200766,ORD005673,Late Delivery
RET200767,ORD005683,Late Delivery
RET200768,ORD005685,Late Delivery
RET200769,ORD005687,Late Delivery
RET200770,ORD005706,Late Delivery
RET200771,ORD005717,Late Delivery
RET200772,ORD005732,Wrong Item
RET200773,ORD005736,Late Delivery
RET200774,ORD005745,Changed Mind
RET200775,ORD005747,Late Delivery
RET200776,ORD005762,Late Delivery
RET200777,ORD005785,Late Delivery
RET200778,ORD005786,Late Delivery
RET200779,ORD005788,Late Delivery
RET200780,ORD005791,Defective
RET200781,ORD005815,Late Delivery
RET200782,ORD005835,Late Delivery
